trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
280,False,"{'a': 0.6, 'e': 0.015222205941915572}",20,10,18.60244762221465,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
281,False,"{'a': 0.6, 'e': 0.014995576820477707}",20,15,10.42122572441539,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
282,False,"{'a': 0.6, 'e': 0.014772321767087525}",25,20,7.950197155158546,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
283,False,"{'a': 0.6, 'e': 0.014552390548416139}",20,9,-20.599100640570253,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
284,False,"{'a': 0.6, 'e': 0.014335733679011491}",30,18,23.956793639017103,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
285,False,"{'a': 0.6, 'e': 0.014122302410163965}",20,8,16.82163070662625,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
286,False,"{'a': 0.6, 'e': 0.013912048718937635}",30,16,26.89397206520816,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
287,False,"{'a': 0.6, 'e': 0.013704925297364948}",35,20,29.387748240224063,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
288,False,"{'a': 0.6, 'e': 0.013500885541802269}",20,6,22.23406090223207,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
289,False,"{'a': 0.6, 'e': 0.01329988354244377}",25,13,26.08455692051103,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
290,False,"{'a': 0.6, 'e': 0.01310187407299164}",20,0,-12.429755611691919,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",1
291,False,"{'a': 0.6, 'e': 0.012906812580479876}",25,0,45.02534574699443,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
292,False,"{'a': 0.6, 'e': 0.012714655175249735}",25,11,25.570124841983326,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
293,False,"{'a': 0.6, 'e': 0.012525358621074388}",30,17,23.3143600223607,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
294,False,"{'a': 0.6, 'e': 0.012338880325430537}",20,0,28.856580792179717,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
295,False,"{'a': 0.6, 'e': 0.012155178329914938}",20,10,20.805798905377436,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
296,False,"{'a': 0.6, 'e': 0.011974211300803625}",25,19,12.535630029156936,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
297,False,"{'a': 0.6, 'e': 0.011795938519751574}",25,9,28.705359537571404,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
298,False,"{'a': 0.6, 'e': 0.011620319874630946}",20,9,22.428509823928884,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
299,False,"{'a': 0.6, 'e': 0.011447315850505714}",25,7,-25.151542829336925,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 1}",1
300,False,"{'a': 0.6, 'e': 0.01127688752074057}",25,5,31.6633352236123,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
301,False,"{'a': 0.6, 'e': 0.01110899653824231}",20,9,16.008544377707747,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
302,False,"{'a': 0.6, 'e': 0.010943605126831594}",30,21,18.928235602071506,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
303,False,"{'a': 0.6, 'e': 0.010780676072743085}",20,0,30.820003012697946,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
304,False,"{'a': 0.6, 'e': 0.010620172716252272}",25,11,25.31881639699317,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
305,False,"{'a': 0.6, 'e': 0.010462058943426805}",20,7,19.76970684281283,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
306,False,"{'a': 0.6, 'e': 0.010306299178000744}",30,12,30.535776902814977,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
307,False,"{'a': 0.6, 'e': 0.010152858373369766}",20,11,18.428287678813266,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
308,False,"{'a': 0.6, 'e': 0.010001702004705489}",25,6,30.31140866514903,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
309,False,"{'a': 0.6, 'e': 0.009852796061187259}",35,22,19.258946022573568,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
310,False,"{'a': 0.6, 'e': 0.0097061070383496}",20,6,31.245798416889553,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
311,False,"{'a': 0.6, 'e': 0.009561601930543515}",20,8,18.31293126059816,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
312,False,"{'a': 0.6, 'e': 0.009419248223510106}",30,15,29.5288776571597,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
313,False,"{'a': 0.6, 'e': 0.009279013887064745}",30,8,-49.726905130623805,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 2}",1
